iter	Passed	Remaining
0	0	61
1	1	54
2	1	50
3	1	46
4	2	45
5	2	44
6	3	43
7	3	43
8	4	42
9	4	42
10	5	42
11	5	41
12	6	40
13	6	40
14	7	39
15	7	39
16	7	38
17	8	38
18	8	37
19	9	37
20	9	36
21	10	35
22	10	35
23	11	34
24	11	34
25	11	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	27
41	19	26
42	19	25
43	20	25
44	20	25
45	21	24
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	18
62	29	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	47	0
98	47	0
99	48	0
