iter	Passed	Remaining
0	165	165079
1	177	88811
2	182	60533
3	183	45598
4	183	36610
5	190	31509
6	191	27200
7	196	24381
8	202	22273
9	208	20657
10	209	18870
11	210	17347
12	211	16088
13	212	14980
14	213	14011
15	213	13160
16	214	12408
17	215	11744
18	215	11146
19	219	10736
20	220	10273
21	234	10405
22	238	10146
23	240	9781
24	244	9524
25	245	9208
26	247	8907
27	248	8625
28	249	8346
29	250	8084
30	250	7842
31	254	7689
32	255	7494
33	256	7300
34	263	7253
35	264	7081
36	265	6920
37	267	6775
38	268	6625
39	274	6594
40	276	6471
41	278	6350
42	280	6234
43	283	6157
44	284	6039
45	285	5924
46	286	5807
47	290	5764
48	294	5716
49	295	5622
50	296	5521
51	297	5421
52	298	5325
53	300	5263
54	301	5181
55	302	5095
56	302	5010
57	303	4929
58	304	4850
59	307	4810
60	312	4804
61	313	4738
62	314	4675
63	315	4617
64	316	4551
65	318	4501
66	319	4445
67	320	4392
68	321	4333
69	322	4279
70	324	4246
71	326	4202
72	330	4193
73	331	4145
74	331	4094
75	332	4044
76	333	3997
77	334	3952
78	338	3941
79	339	3903
80	340	3860
81	341	3822
82	341	3778
83	345	3762
84	346	3724
85	346	3685
86	348	3656
87	350	3630
88	351	3594
89	352	3560
90	354	3542
91	357	3527
92	369	3599
93	371	3576
94	372	3552
95	373	3520
96	376	3502
97	377	3470
98	378	3444
99	380	3420
100	380	3389
101	381	3358
102	382	3330
103	384	3309
104	385	3285
105	386	3260
106	388	3241
107	390	3221
108	391	3200
109	393	3183
110	394	3157
111	396	3147
112	398	3124
113	399	3102
114	400	3081
115	401	3056
116	402	3040
117	404	3025
118	405	3002
119	406	2977
120	406	2953
121	406	2928
122	408	2912
123	409	2893
124	410	2873
125	411	2852
126	412	2832
127	412	2811
128	418	2826
129	421	2818
130	422	2805
131	424	2788
132	426	2782
133	427	2764
134	430	2760
135	432	2749
136	433	2731
137	435	2717
138	435	2698
139	436	2679
140	436	2662
141	437	2643
142	451	2703
143	455	2704
144	456	2691
145	458	2680
146	459	2668
147	462	2659
148	464	2653
149	465	2636
150	466	2623
151	467	2610
152	470	2607
153	475	2609
154	486	2651
155	488	2643
156	489	2629
157	490	2614
158	491	2599
159	528	2775
160	531	2767
161	532	2756
162	534	2743
163	537	2739
164	550	2788
165	553	2778
166	559	2789
167	560	2774
168	560	2758
169	565	2758
170	565	2742
171	566	2726
172	568	2715
173	569	2701
174	569	2686
175	572	2679
176	573	2668
177	574	2654
178	575	2639
179	576	2624
180	576	2610
181	577	2596
182	578	2582
183	581	2578
184	582	2566
185	583	2552
186	584	2540
187	588	2541
188	589	2531
189	590	2517
190	591	2503
191	593	2496
192	593	2482
193	594	2469
194	595	2456
195	595	2443
196	596	2430
197	596	2417
198	604	2434
199	606	2427
200	611	2430
201	612	2420
202	615	2415
203	616	2406
204	618	2397
205	622	2398
206	623	2387
207	624	2376
208	624	2365
209	627	2360
210	629	2353
211	630	2343
212	631	2332
213	632	2323
214	633	2313
215	634	2303
216	635	2294
217	636	2283
218	637	2272
219	641	2273
220	645	2276
221	646	2265
222	647	2255
223	647	2244
224	651	2242
225	653	2238
226	654	2228
227	657	2226
228	658	2217
229	659	2208
230	662	2207
231	664	2198
232	664	2188
233	665	2178
234	667	2174
235	671	2175
236	676	2178
237	678	2172
238	679	2162
239	682	2161
240	683	2153
241	687	2152
242	688	2144
243	689	2136
244	690	2127
245	694	2129
246	696	2123
247	700	2123
248	707	2134
249	708	2126
250	711	2121
251	712	2115
252	714	2108
253	716	2103
254	716	2094
255	717	2085
256	718	2076
257	719	2068
258	720	2062
259	721	2054
260	722	2045
261	723	2039
262	724	2031
263	726	2025
264	729	2022
265	733	2023
266	737	2025
267	739	2019
268	740	2011
269	742	2007
270	746	2007
271	747	2001
272	748	1993
273	749	1985
274	749	1977
275	750	1968
276	751	1960
277	751	1952
278	752	1944
279	753	1936
280	754	1929
281	755	1922
282	756	1915
283	758	1912
284	759	1904
285	760	1899
286	761	1892
287	762	1886
288	763	1879
289	765	1873
290	765	1866
291	767	1859
292	767	1852
293	768	1845
294	768	1837
295	769	1829
296	769	1822
297	770	1814
298	771	1808
299	772	1802
300	772	1794
301	773	1787
302	773	1780
303	774	1773
304	774	1765
305	775	1758
306	775	1751
307	776	1744
308	777	1738
309	778	1731
310	778	1725
311	779	1718
312	779	1711
313	780	1704
314	780	1697
315	781	1691
316	781	1684
317	782	1677
318	782	1671
319	784	1666
320	784	1660
321	785	1654
322	786	1649
323	787	1643
324	788	1637
325	788	1631
326	790	1626
327	791	1621
328	792	1615
329	793	1610
330	794	1605
331	795	1599
332	796	1595
333	798	1591
334	799	1586
335	800	1580
336	800	1575
337	801	1569
338	802	1564
339	802	1558
340	803	1552
341	804	1547
342	804	1541
343	805	1535
344	805	1529
345	806	1523
346	806	1518
347	807	1512
348	808	1507
349	809	1503
350	810	1498
351	811	1493
352	812	1488
353	812	1482
354	813	1477
355	814	1473
356	815	1469
357	816	1463
358	817	1458
359	817	1454
360	818	1449
361	819	1444
362	821	1441
363	822	1437
364	823	1432
365	824	1427
366	824	1422
367	825	1417
368	827	1415
369	829	1412
370	830	1407
371	831	1402
372	831	1398
373	833	1394
374	834	1390
375	834	1385
376	835	1380
377	836	1376
378	837	1371
379	837	1366
380	838	1362
381	840	1359
382	841	1355
383	842	1350
384	844	1348
385	846	1347
386	847	1342
387	848	1338
388	849	1334
389	850	1329
390	850	1325
391	853	1324
392	854	1320
393	855	1315
394	855	1310
395	856	1306
396	857	1301
397	860	1300
398	860	1296
399	861	1292
400	862	1287
401	862	1283
402	864	1280
403	865	1276
404	866	1272
405	866	1268
406	867	1263
407	867	1259
408	868	1254
409	868	1250
410	869	1246
411	875	1249
412	879	1250
413	881	1248
414	882	1244
415	886	1243
416	886	1239
417	887	1235
418	887	1230
419	888	1226
420	888	1222
421	889	1217
422	890	1214
423	890	1209
424	891	1205
425	891	1201
426	892	1197
427	892	1192
428	893	1188
429	893	1184
430	894	1180
431	894	1176
432	895	1172
433	896	1168
434	896	1164
435	897	1160
436	897	1156
437	898	1152
438	899	1148
439	899	1144
440	900	1140
441	900	1137
442	901	1133
443	901	1129
444	904	1127
445	905	1125
446	906	1121
447	907	1117
448	907	1114
449	911	1113
450	912	1110
451	913	1106
452	913	1103
453	917	1103
454	918	1099
455	918	1095
456	919	1092
457	920	1089
458	921	1086
459	922	1082
460	922	1078
461	923	1075
462	923	1071
463	924	1067
464	924	1063
465	925	1060
466	925	1056
467	926	1053
468	928	1050
469	929	1047
470	929	1044
471	930	1040
472	930	1037
473	931	1033
474	932	1030
475	937	1032
476	938	1029
477	948	1035
478	949	1032
479	949	1029
480	950	1025
481	952	1023
482	954	1021
483	954	1018
484	955	1014
485	957	1013
486	960	1011
487	964	1012
488	965	1009
489	966	1006
490	967	1003
491	968	999
492	970	998
493	972	996
494	974	994
495	978	994
496	980	991
497	980	988
498	981	985
499	982	982
500	984	980
501	985	977
502	987	975
503	992	976
504	993	973
505	996	973
506	997	969
507	998	966
508	999	963
509	999	960
510	1004	961
511	1006	959
512	1010	959
513	1011	956
514	1013	954
515	1014	951
516	1014	948
517	1015	945
518	1016	941
519	1016	938
520	1017	935
521	1017	932
522	1020	930
523	1020	927
524	1021	924
525	1022	921
526	1023	918
527	1024	915
528	1026	913
529	1027	911
530	1029	909
531	1035	911
532	1042	913
533	1043	910
534	1044	907
535	1047	906
536	1047	903
537	1048	900
538	1048	897
539	1049	894
540	1050	891
541	1054	890
542	1070	901
543	1073	899
544	1074	896
545	1074	893
546	1075	890
547	1076	887
548	1076	884
549	1078	882
550	1079	879
551	1080	877
552	1081	874
553	1082	871
554	1085	870
555	1086	867
556	1087	864
557	1087	861
558	1089	859
559	1091	857
560	1093	855
561	1094	852
562	1095	849
563	1095	847
564	1098	845
565	1101	844
566	1101	841
567	1102	838
568	1104	836
569	1105	833
570	1106	831
571	1106	828
572	1107	825
573	1107	822
574	1108	819
575	1109	816
576	1110	814
577	1111	811
578	1111	808
579	1112	805
580	1113	802
581	1113	799
582	1114	796
583	1114	793
584	1116	792
585	1118	789
586	1118	787
587	1120	785
588	1121	782
589	1124	781
590	1125	778
591	1126	776
592	1127	773
593	1129	771
594	1130	769
595	1130	766
596	1131	763
597	1131	760
598	1132	758
599	1132	755
600	1134	753
601	1135	750
602	1135	747
603	1136	745
604	1136	742
605	1137	739
606	1137	736
607	1138	733
608	1138	731
609	1139	728
610	1142	727
611	1144	725
612	1145	723
613	1145	720
614	1148	718
615	1148	716
616	1149	713
617	1149	710
618	1150	708
619	1151	705
620	1151	703
621	1154	701
622	1155	699
623	1156	696
624	1157	694
625	1157	691
626	1158	689
627	1160	687
628	1161	684
629	1162	682
630	1163	680
631	1163	677
632	1164	675
633	1165	672
634	1166	670
635	1167	668
636	1168	665
637	1168	663
638	1169	660
639	1169	657
640	1170	655
641	1170	652
642	1172	650
643	1173	648
644	1173	646
645	1174	643
646	1175	641
647	1176	638
648	1176	636
649	1178	634
650	1179	632
651	1180	629
652	1180	627
653	1181	624
654	1181	622
655	1182	620
656	1183	617
657	1187	617
658	1188	614
659	1188	612
660	1189	609
661	1189	607
662	1191	605
663	1192	603
664	1193	601
665	1194	598
666	1194	596
667	1195	593
668	1195	591
669	1196	589
670	1197	587
671	1198	585
672	1199	582
673	1200	580
674	1200	578
675	1201	575
676	1201	573
677	1202	570
678	1204	569
679	1205	567
680	1205	564
681	1207	563
682	1208	560
683	1212	560
684	1214	558
685	1214	555
686	1216	554
687	1217	552
688	1218	549
689	1219	547
690	1219	545
691	1220	543
692	1220	540
693	1221	538
694	1222	536
695	1223	534
696	1223	532
697	1224	529
698	1225	527
699	1225	525
700	1226	522
701	1226	520
702	1227	518
703	1227	516
704	1230	514
705	1230	512
706	1231	510
707	1232	508
708	1232	505
709	1233	503
710	1234	501
711	1237	500
712	1240	499
713	1241	497
714	1242	495
715	1243	493
716	1245	491
717	1247	489
718	1247	487
719	1248	485
720	1248	483
721	1249	481
722	1252	479
723	1253	477
724	1254	475
725	1255	473
726	1255	471
727	1257	469
728	1258	467
729	1258	465
730	1259	463
731	1259	461
732	1260	459
733	1260	456
734	1261	454
735	1261	452
736	1263	450
737	1265	449
738	1271	448
739	1273	447
740	1274	445
741	1277	444
742	1278	442
743	1279	440
744	1279	438
745	1280	435
746	1281	433
747	1282	431
748	1282	429
749	1283	427
750	1283	425
751	1284	423
752	1284	421
753	1285	419
754	1285	417
755	1286	415
756	1286	413
757	1288	411
758	1289	409
759	1290	407
760	1291	405
761	1291	403
762	1292	401
763	1292	399
764	1296	398
765	1296	396
766	1297	394
767	1298	392
768	1298	390
769	1299	388
770	1303	387
771	1304	385
772	1304	383
773	1305	381
774	1305	379
775	1307	377
776	1309	375
777	1309	373
778	1310	371
779	1311	369
780	1311	367
781	1312	366
782	1313	364
783	1314	362
784	1314	360
785	1315	358
786	1315	356
787	1316	354
788	1317	352
789	1317	350
790	1319	348
791	1320	346
792	1323	345
793	1323	343
794	1324	341
795	1327	340
796	1327	338
797	1328	336
798	1329	334
799	1329	332
800	1331	330
801	1333	329
802	1334	327
803	1335	325
804	1335	323
805	1336	321
806	1338	320
807	1339	318
808	1340	316
809	1341	314
810	1341	312
811	1342	310
812	1342	308
813	1343	307
814	1344	305
815	1345	303
816	1345	301
817	1346	299
818	1346	297
819	1347	295
820	1347	293
821	1348	291
822	1349	290
823	1351	288
824	1352	286
825	1354	285
826	1354	283
827	1355	281
828	1357	279
829	1357	278
830	1358	276
831	1359	274
832	1359	272
833	1360	270
834	1360	268
835	1361	267
836	1364	265
837	1365	263
838	1365	262
839	1366	260
840	1366	258
841	1367	256
842	1367	254
843	1369	253
844	1370	251
845	1371	249
846	1372	247
847	1372	246
848	1373	244
849	1374	242
850	1375	240
851	1376	239
852	1376	237
853	1377	235
854	1377	233
855	1378	231
856	1378	230
857	1379	228
858	1379	226
859	1380	224
860	1381	222
861	1382	221
862	1383	219
863	1383	217
864	1385	216
865	1386	214
866	1386	212
867	1388	211
868	1389	209
869	1390	207
870	1391	206
871	1391	204
872	1392	202
873	1392	200
874	1394	199
875	1395	197
876	1396	195
877	1396	194
878	1397	192
879	1397	190
880	1398	188
881	1398	187
882	1399	185
883	1400	183
884	1401	182
885	1401	180
886	1402	178
887	1402	176
888	1403	175
889	1403	173
890	1404	171
891	1404	170
892	1405	168
893	1405	166
894	1407	165
895	1408	163
896	1408	161
897	1409	160
898	1409	158
899	1410	156
900	1410	155
901	1411	153
902	1411	151
903	1413	150
904	1414	148
905	1415	146
906	1415	145
907	1417	143
908	1418	141
909	1420	140
910	1421	138
911	1422	137
912	1423	135
913	1427	134
914	1428	132
915	1429	131
916	1429	129
917	1430	127
918	1430	126
919	1431	124
920	1432	122
921	1432	121
922	1433	119
923	1434	117
924	1434	116
925	1435	114
926	1435	113
927	1436	111
928	1439	109
929	1441	108
930	1442	106
931	1443	105
932	1444	103
933	1445	102
934	1445	100
935	1446	98
936	1447	97
937	1449	95
938	1450	94
939	1450	92
940	1451	90
941	1451	89
942	1452	87
943	1452	86
944	1453	84
945	1454	83
946	1455	81
947	1456	79
948	1457	78
949	1457	76
950	1458	75
951	1458	73
952	1459	71
953	1459	70
954	1461	68
955	1461	67
956	1462	65
957	1462	64
958	1463	62
959	1463	60
960	1464	59
961	1464	57
962	1465	56
963	1465	54
964	1467	53
965	1468	51
966	1470	50
967	1471	48
968	1471	47
969	1472	45
970	1473	44
971	1474	42
972	1475	40
973	1476	39
974	1476	37
975	1477	36
976	1477	34
977	1478	33
978	1480	31
979	1481	30
980	1481	28
981	1482	27
982	1482	25
983	1483	24
984	1483	22
985	1484	21
986	1484	19
987	1486	18
988	1487	16
989	1487	15
990	1488	13
991	1489	12
992	1489	10
993	1490	8
994	1490	7
995	1492	5
996	1492	4
997	1493	2
998	1493	1
999	1494	0
